link;name;location;company;date
https://rabota.sber.ru/search/4203732;Senior Data Analyst Private Banking;г Москва;ПАО Сбербанк;01 октября 2023
https://rabota.sber.ru/search/4159604;Data Engineer;г Санкт-Петербург;ПАО Сбербанк;10 июля 2023
https://rabota.sber.ru/search/4149472;Системный аналитик;г Москва;ПАО Сбербанк;12 июля 2023
https://rabota.sber.ru/search/4207650;ML разработчик (команда СберСпасибо);г Москва;ПАО Сбербанк;15 сентября 2023
https://rabota.sber.ru/search/4207280;Data Engineer (Брокерский бизнес);г Казань, республика Татарстан;ПАО Сбербанк;07 сентября 2023
https://rabota.sber.ru/search/4176195;Ведущий юрисконсульт-алгоритмист;г Санкт-Петербург;ПАО Сбербанк;29 сентября 2023
https://rabota.sber.ru/search/4137287;Ведущий аналитик данных;г Москва;ПАО Сбербанк;14 августа 2023
https://rabota.sber.ru/search/4099400;стажер Data Science Новосибирск;г Новосибирск, Новосибирская область;ПАО Сбербанк;11 сентября 2023
https://rabota.sber.ru/search/4199747;Продуктовый аналитик (Реестр CDE);г Москва;ПАО Сбербанк;18 августа 2023
https://rabota.sber.ru/search/4199747;Продуктовый аналитик (Реестр CDE);г Москва;ПАО Сбербанк;18 августа 2023
https://rabota.sber.ru/search/4211538;Руководитель проектов (внедрение AI в сегменте В2С);г Москва;ПАО Сбербанк;26 сентября 2023
https://rabota.sber.ru/search/4193681;Аналитик данных;г Москва;ПАО Сбербанк;01 августа 2023
https://rabota.sber.ru/search/4204365;Data engineer;г Москва;ПАО Сбербанк;26 сентября 2023
https://rabota.sber.ru/search/4211524;Project Manager Sber AI Lab;г Москва;ПАО Сбербанк;20 сентября 2023
https://rabota.sber.ru/search/4200154;QA Engineer (Супермаркет Данных);г Москва;ПАО Сбербанк;17 августа 2023
https://rabota.sber.ru/search/4207463;Главный инженер по разработке;г Москва;ПАО Сбербанк;08 сентября 2023
https://rabota.sber.ru/search/4193101;Data engineer (Рекламная платформа/Управление данными);г Москва;ПАО Сбербанк;08 сентября 2023
